ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1304105,Doha,5/12/2022,2022,59,صابونة مفتحة ومنعمة للوجه,"Skin Brightening, Face Radiance",Face Care,6.868131868,1,70.05494505,0,0,,5.494505495,75.54945055,0,Qatar,Doha,Al Dafna
1304104,West Beqaa,5/11/2022,2022,58,Lip Care - Flavour Free,Lip Balms,Face Care,0,1,3.8,0,0,,1,4.8,0,Lebanon,West Beqaa,Ghazzeh
1304103,Beirut,5/10/2022,2022,57,Eye Contour Serum,Face Care,Face Care,7.524271845,1,10.4368932,0,0,,1.45631068,11.89320388,0,Lebanon,Beirut,Mar Elias
1304102,Baabda,5/9/2022,2022,56,"Whitening Roll-on Deo Zero Aluminum, Silver Power - Fragrance Free",Deodorants,Body Care,0,1,25.68,0,0,,0,25.68,0,Lebanon,Baabda,Hazmiyeh
1304101,Beirut,5/8/2022,2022,55,Whitening Roll-On Deodorant - Arabian Oud,Deodorants,Body Care,0,2,11.28,0,0,,0,11.28,0,Lebanon,Beirut,Al Mussaytbeh
1304100,Matn,5/8/2022,2022,54,Sensifresh Whitening Sensitive Zone Deodorant,"Skin Brightening, Intimate Care, Deodorants",Body Care,6.18,3,17.94,0,0,,0,17.94,0,Lebanon,Matn,Fanar
1304099,Umm Slal,5/7/2022,2022,53,وقاية للوجه من الشمس مقاومة لظهور التجاعيد عامل الوقاية +50   (1+1 مجاناً),Sun Care,Sun Care,60.43956044,1,123.6263736,0,0,,0,123.6263736,0,Qatar,Umm Slal,ام عبيرية
1304098,Al Wakrah,5/7/2022,2022,52,كريم مفتح للعناية الليلية (1+1 مجاناً),Face Radiance,Face Care,54.94505495,1,68.68131868,0,0,,5.494505495,74.17582418,0,Qatar,Al Wakrah,ازدان اويسيس
1304097,Beirut,5/6/2022,2022,51,3 in 1 Micellar Cleansing Water 400ml,Face Care,Face Care,3.638613861,1,3.638613861,0,0,,0,3.638613861,0,Lebanon,Beirut,Al Mazra`a
1304096,Keserwan,5/5/2022,2022,50,White Sapphire Luxury Mask,Masks,Face Care,0.944700461,4,59.42396313,1.889400922,27.70737327,bee84CPMM,0,31.71658986,0,Lebanon,Keserwan,Ghazir
1304095,Tripoli,5/4/2022,2022,49,Fortifying Shampoo,Hair Care,Hair Care,2.030456853,3,23.24873096,0,0,,0,23.24873096,0,Lebanon,Tripoli,Koubba
1304094,Baabda,5/3/2022,2022,48,Natural Roll-On Deo - Active Fresh,"Deodorants, Men",Body Care,2.211055276,1,7.43718593,0,0,,0.753768844,8.190954774,0,Lebanon,Baabda,Hadath Beirut
1304093,Aley,5/2/2022,2022,47,Facial Whitening Scrub,Masks,Face Care,0.883435583,1,11.59509202,0,0,,0,11.59509202,0,Lebanon,Aley,Bchamoun
1304091,Chouf,5/1/2022,2022,45,رول أون - مزيل الرائحة الطبيعي - نعومة القطن,"Deodorants, Women",Body Care,2.301458671,1,9.205834684,0,0,,0.972447326,10.17828201,0,Lebanon,Chouf,khalde
1304092,Aley,5/1/2022,2022,46,Natural Roll-On Deo - Cool Breeze,"Deodorants, Men",Body Care,2.247191011,2,25.28089888,0,0,,0,25.28089888,0,Lebanon,Aley,Ain Ksour
1304090,Beirut,4/30/2022,2022,44,Suntan Oil Gold,Sun Care,Sun Care,4.877192982,1,8.526315789,0,0,,0,8.526315789,0,Lebanon,Beirut,Ras Beirut
1304089,Tripoli,4/30/2022,2022,43,Natural Roll-On Deo - Elder Rose,Deodorants,Body Care,56002332.98,46600,8.657815483,2.164453871,8.774439024,BEE250,1.482502651,8.163647932,6.797768823,Lebanon,Tripoli,Mina
1304088,Beirut,4/29/2022,2022,42,Eye Contour Whitening Mask ,View All Products,View All Products,0.819875776,1,7.741614907,0,0,,0,7.741614907,0,Lebanon,Beirut,Ashrafiyeh
1304087,Jbeil,4/28/2022,2022,41,3 in 1 Micellar Cleansing Water 100ml ,Face Care,Face Care,2.824207493,1,8.991354467,0,0,,0,8.991354467,0,Lebanon,Jbeil,Blat
1304086,Baabda,4/27/2022,2022,40,Nourishing Facial Day Cream SPF 25 (Oily to Combination),Face Care,Face Care,4.974874372,2,43.35050251,0,0,,0,43.35050251,0,Lebanon,Baabda,Beirut
1304085,Beirut,4/26/2022,2022,39,غسول ٤ بـ ١ لتفتيح البشرة ,"Skin Whitening, Face Radiance",Bundles & Offers,6.590909091,1,19.16761364,0,0,,0,19.16761364,0,Lebanon,Beirut,Al Mazra`a
1304084,Hawalli,4/25/2022,2022,38,Whitening Roll-On Deodorant - Pacific Islands,Deodorants,Body Care,1.70355E+13,0,26.25806452,13.12903226,13.12903226,,4.838709677,31.09677419,13.12903226,Kuwait,Hawalli,As Salmiya
1304083,South Lebanon,4/24/2022,2022,37,Propolis Facial Wash,Face Care,Face Care,4.157480315,1,13.48976378,0,0,,0,13.48976378,0,Lebanon,South Lebanon,Saida
1304082,Aley,4/23/2022,2022,36,3 in 1 Micellar Cleansing Water 400ml,"Face Care, Face Radiance",Face Care,3.665158371,1,9.609728507,0,0,beeE5C6kit,0,9.609728507,0,Lebanon,Aley,Aramoun
1304081,Baabda,4/23/2022,2022,35,Fresh Pine Shower Cream,View All Products,View All Products,56002332.98,0,17.42,1.86,17.82,,1.5,18.92,17.82,Lebanon,Baabda,Laylakeh
1304080,Matn,4/22/2022,2022,34,Facial Blackhead Mask (1+1 Free),Bundles & Offers,Bundles & Offers,1.666666667,2,11.06691919,0,0,,0,11.06691919,0,Lebanon,Matn,Mkalles
1304079,Aley,4/21/2022,2022,33,Busy Bee Tote Bag,Beesline Gift,Beesline Gift,8.498239661,0,12.24,1.45,13.69,,0,12.24,13.69,Lebanon,Aley,Choueifat
1304078,Beirut,4/20/2022,2022,32,Whitening Eye Contour Cream SPF 30,"Skin Whitening, Face Radiance",Bundles & Offers,5,1,19.02386935,0,0,,0,19.02386935,0,Lebanon,Beirut,Beirut Port
1304077,Jbeil,4/19/2022,2022,31,Wild Bees Conservation Flyer,View All Products,View All Products,0,1,11.16666667,0,0,,0,11.16666667,0,Lebanon,Jbeil,Halate
1304076,Abu Dhabi,4/18/2022,2022,30,"Whitening Roll-on Deo Super Dry, Silver Power - Ocean Fresh",Deodorants,Body Care,19.74114441,3,59.22343324,17.76839237,17.76839237,BEE30,0,41.45504087,0,United Arab Emirates,Abu Dhabi,Abu Dhabi
1304075,Al-Ahmadi,4/17/2022,2022,29,مجموعة لتفتيح المناطق الحميمة,Skin Whitening,Bundles & Offers,40.80645161,1,24.32258065,0,0,,4.838709677,29.16129032,0,Kuwait,Al-Ahmadi,Al Manqaf
